X,Y,Store Name,ADDRESS,ZIPCODE,New Store,PHONE
-8574604.25539909,4719445.17205782,Target ,7828 GEORGIA AVENUE NW,20012,,2028923822
-8574502.41761222,4719303.16647473,International Progresso Market,7719 GEORGIA AVENUE NW,20012,checked,2025455015
-8574695.28072240,4717056.12937713,Jocelyn’s Market ,6404 GEORGIA AVENUE NW,20012,,2027227574
-8580112.20151324,4716738.57023734,Magruder's,5626 CONNECTICUT AVENUE NW,20015,,2024644946
-8579939.69688040,4716602.19713409,Safeway,5545 CONNECTICUT AVENUE NW,20015,,2022446097
-8574638.15893889,4716241.07232412,Walmart Supercenter,5929 GEORGIA AVENUE NW,20011,checked,2027193770
-8571839.51218220,4715653.88077419,Walmart Supercenter,310 RIGGS ROAD NE,20011,,2027564418
-8573973.88748446,4715457.40887187,Tropimart International Foods,607 KENNEDY STREET NW,20011,checked,2026272752
-8580936.13571715,4715414.28199539,Rodman’s ,5100 WISCONSIN AVENUE NW,20016,,2023633466
-8572980.35515294,4714706.42247743,Avenue Supermarket,5010 1ST STREET NW,20011,checked,2027261330
-8580418.93208050,4714384.47674144,Whole Foods Market,4530 40TH STREET NW,20016,,2022375800
-8580567.85395220,4714302.55754060,Target ,4500 WISCONSIN AVENUE NW,20016,,2022925573
-8582260.64664183,4713899.63011137,Wagshal’s Market ,4845 MASSACHUSETTS AVENUE NW,20016,,2023630777
-8578633.12277831,4713725.75871691,Giant,4303 CONNECTICUT AVENUE NW,20008,checked,2023648250
-8574442.66310689,4713229.06895577,Yes! Organic,4100 GEORGIA AVENUE NW,20011,checked,2022915790
-8575278.07622189,4713001.56559158,Morazan Grocery Store,3928 14TH STREET NW,20011,checked,2027237480
-8570531.83922254,4712626.22354236,Yes! Organic,3809 12TH STREET NE,20017,checked,2028327715
-8578059.12487094,4712488.14389056,Target ,3505 CONNECTICUT AVENUE NW,20008,,2028923794
-8578044.72732009,4712399.89521441,Streets Market,3427 CONNECTICUT AVENUE NW ,20008,checked,2022449114
-8578033.99947068,4712388.96977246,Yes! Organic,3425 CONNECTICUT AVENUE NW,20008,,2023631559
-8579727.02063813,4712272.34508557,Giant,3336 WISCONSIN AVENUE NW,20016,checked,2022445922
-8575283.62995377,4712493.80944705,Panam Grocery,3552 14TH STREET NW,20010,,2025450290
-8575154.52002463,4711767.21894578,Giant,1345 PARK ROAD NW,20010,,2027771077
-8575861.27928907,4711679.01670673,El Progreso Market,3158 MOUNT PLEASANT STREET NW,20010,checked,2024621151
-8568797.67185622,4711571.06175140,Good Food Markets,2006 RHODE ISLAND AVENUE NE,20018,,2022488494
-8575272.77743953,4711550.63537857,Target,3100 14TH STREET NW,20010,checked,2027773773
-8576164.20701460,4710821.85422557,Safeway,1747 COLUMBIA ROAD NW,20009,,2026670774
-8571590.42790062,4710483.11222700,Save-A-Lot,514 RHODE ISLAND AVENUE NE,20002,checked,2026363780
-8576466.67343751,4710476.91554758,Yes! Organic,1825 COLUMBIA ROAD NW,20009,,2024625150
-8579572.96236729,4710352.40637122,Whole Foods Market,2323 WISCONSIN AVENUE NW,20007,,2023335393
-8566132.90639907,4710340.48418351,Costco Wholesale,2441 MARKET STREET NE,20018,,2022698540
-8575172.51790231,4710327.77128426,Streets Market,2400 14TH STREET NW,20009,checked,2022653300
-8576447.87291277,4710326.90569975,Streets Market,1864 COLUMBIA ROAD NW,20009,,2027580658
-8574369.08241655,4710184.00998188,Whole Foods Market,967 FLORIDA AVENUE NW,20001,,2025193400
-8575120.68556082,4710005.07389535,Yes! Organic,2123 14TH STREET NW,20009,checked,2022326603
-8582283.24599129,4709852.65264315,Safeway,4865 MACARTHUR BOULEVARD NW,20007,,2023375649
